Screen,Function,Level,Person in charge,Sprint,Note,BR,JOB
S-14 – Listing Preview – BP1,"Preview listing trước khi đăng
Quay lại chỉnh sửa
Xác nhận đăng tin",simple,"BE: Đạt
FE: Quốc Anh",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"BR-S14-F01 – Preview listing
•	Preview lấy dữ liệu từ bản lưu mới nhất
•	Không chỉnh sửa được dữ liệu tại màn này
________________________________________
BR-S14-F02 – Quay lại chỉnh sửa
•	Khi quay lại:
o	Giữ nguyên toàn bộ dữ liệu đã nhập
o	Không reset form
________________________________________
BR-S14-F03 – Xác nhận đăng
•	Khi xác nhận:
o	Thực hiện submit listing
•	Khi không xác nhận:
o	Không thay đổi trạng thái
",
S-15 – Listing Detail (Seller View) – BP1,"Xem chi tiết listing
Xem trạng thái duyệt
Xem inspection status
Xem transaction liên quan (nếu có)",medium,"BE: Đạt
FE: Quốc Anh",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"BR-S15-F01 – Xem chi tiết listing
•	Seller chỉ xem được listing của mình
•	Listing bị xoá → không cho truy cập
________________________________________
BR-S15-F02 – Xem trạng thái duyệt
•	Status hiển thị theo dữ liệu hệ thống
•	Không cho chỉnh sửa tại màn này
________________________________________
BR-S15-F03 – Xem inspection status
•	Nếu chưa inspection → ẩn thông tin
•	Nếu có → hiển thị trạng thái hiện tại
________________________________________
BR-S15-F04 – Xem transaction liên quan
•	Chỉ hiển thị transaction liên quan đến listing
•	Không có → không hiển thị block",
S-16 – Edit Listing – BP1,"Chỉnh sửa nội dung listing
Update ảnh
Submit lại duyệt
Validate rule chỉnh sửa theo status",complex,"BE: Đạt
FE: Quốc Anh",Sprint 2,,"BR-S16-F01 – Điều kiện chỉnh sửa
•	Chỉ cho phép Edit nếu status hợp lệ
•	Status không hợp lệ → không truy cập màn Edit
________________________________________
BR-S16-F02 – Chỉnh sửa nội dung
•	Seller có thể thay đổi field cho phép
•	Field bị khóa → không cho chỉnh sửa
________________________________________
BR-S16-F03 – Update ảnh
•	Áp dụng toàn bộ rule S-13
•	Xóa ảnh làm < 3 ảnh → không cho submit
________________________________________
BR-S16-F04 – Submit lại duyệt
•	Khi submit:
o	Validate lại toàn bộ dữ liệu
o	Status chuyển sang PENDING_APPROVAL",
S-17 – Listing Status View – BP1,"Xem lifecycle listing
Xem lịch sử duyệt
Xem ghi chú Inspector
CTA theo status (Resubmit / Edit)",simple,"BE: Đạt
FE: Quốc Anh",Sprint 2,,"BR-S17-F01 – Xem lifecycle
•	Hiển thị danh sách các trạng thái đã đi qua
•	Không cho chỉnh sửa dữ liệu
________________________________________
BR-S17-F02 – Xem lịch sử duyệt
•	Mỗi lần duyệt phải có:
o	Thời gian
o	Kết quả
________________________________________
BR-S17-F03 – Xem ghi chú Inspector
•	Có ghi chú → hiển thị
•	Không có → ẩn block
________________________________________
BR-S17-F04 – CTA theo status
•	CTA hiển thị dựa trên status hiện tại
•	Không hiển thị action không hợp lệ",
S-18 – Draft Listings – BP1,"Xem danh sách draft
Edit draft
Delete draft
Submit draft",medium,"BE: Đạt
FE: Quốc Anh",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"BR-S18-F01 – Xem danh sách Draft
•	Chỉ hiển thị listing status = DRAFT
________________________________________
BR-S18-F02 – Edit Draft
•	Draft luôn được phép chỉnh sửa
•	Không giới hạn số lần
________________________________________
BR-S18-F03 – Delete Draft
•	Chỉ cho phép delete Draft
•	Delete → remove vĩnh viễn
________________________________________
BR-S18-F04 – Submit Draft
•	Submit Draft:
o	Validate đầy đủ
o	Status = PENDING_APPROVAL",
S-19 – Listing Need More Info – BP1 → BP4,"Xem yêu cầu bổ sung
Điều hướng sang Inspection Chat (S-40) (Optional)
Cập nhật thông tin yêu cầu",medium,"BE: Đạt
FE: Quốc Anh",Sprint 2,,"BR-S19-F01 – Xem yêu cầu bổ sung
•	Chỉ hiển thị yêu cầu chưa được xử lý
•	Yêu cầu đã xử lý → không hiển thị
________________________________________
BR-S19-F02 – Điều hướng Inspection Chat
•	Nếu feature bật:
o	Cho phép điều hướng
•	Nếu tắt:
o	Ẩn CTA
________________________________________
BR-S19-F03 – Cập nhật thông tin theo yêu cầu
•	Seller chỉ cập nhật đúng field được yêu cầu
•	Cập nhật xong:
o	Cho phép submit lại listing
________________________________________",
S-20 – Inspector Dashboard – BP2,"1. Xem số lượng tin chờ duyệt (PENDING)
2. Xem số lượng tranh chấp đang xử lý (DISPUTE)
3. Điều hướng sang Pending Listings (S-21)
4. Điều hướng sang Review History (S-24)",simple,"BE: Quang
FE: Lâm",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
S-21 – Pending/Reviewing Listings – BP2,"1. Xem danh sách các tin ở trạng thái PENDING
2. Hiển thị trạng thái REVIEWING (Locked) khi tin đang được Inspector xử lý
3. Không cho mở tin đang ở trạng thái REVIEWING (UI disable / locked)
4. Click tin PENDING để điều hướng sang S-22 – Listing Review & Approval Detail
5. Filter cơ bản: ALL / PENDING / REVIEWING
6. Sort cơ bản: Mới nhất / Cũ nhất",medium,"BE: Quang
FE: Lâm",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
S-22 – Listing Review Detail – BP2,"1. Hiển thị chi tiết listing (listing_id).
2. Hiển thị hình ảnh listing.
3. Hiển thị trạng thái (PENDING / REVIEWING).
4. Mở listing → lock sang REVIEWING.
5. Nhập ghi chú đánh giá.
6. Chọn Approve / Reject.
7. Gửi dữ liệu review sang S-23.",medium,"BE: Quang
FE: Lâm",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
"S-23 – Approve / Reject Listing – BP2 
(Gôm lại với S-22)","1. Nhận yêu cầu Approve.
2. Kiểm tra quyền Inspector.
3. Cập nhật trạng thái → APPROVED.
4. Nhận yêu cầu Reject.
5. Kiểm tra lý do reject (bắt buộc).
6. Cập nhật trạng thái → REJECTED.
7. Lưu ghi chú / lý do.
8. Lưu lịch sử duyệt.
9. Gửi thông báo cho Seller.
10. Unlock listing (thoát REVIEWING).",medium,"BE: Quang
FE: Lâm",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
S-24 – Review History – BP2,"1. Xem lịch sử duyệt tin đã xử lý
2. Lọc lịch sử theo khoảng thời gian (From – To)",simple,"BE: Quang
FE: Lâm",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
"S-30 – Listing Search & Filter – BP3

S-30 gôm lại với S-1","1. Nhập keyword
2. Filter theo giá / loại / kiểm định
3. Submit search

Có ý định  gộp với home",simple,"BE: Đạt
FE: Huy",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
"S-31 – Listing List – BP3
Fitler","1. Hiển thị danh sách ACTIVE
2. Pagination
3. Điều hướng detail

Fitler thì để dưới đây luôn",medium,"BE: Đạt
FE: Huy",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
S-32 – Listing Detail (Public) – BP3,"1. Xem thông tin xe
2. Xem ảnh
4 CTA:
- Đặt mua / đặt cọc
",medium,"BE: Đạt
FE: Huy",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
"S-33 – Seller Profile (Public) – BP3

(nếu rãnh thì sẽ quay lại)","1. Xem thông tin Seller
2. Xem rating / lịch sử bán (nếu có)

Nghi vấn chỗ này bởi DB đâu có gì liên quan đến reivew đâu, không có trong BP, nếu làm thì phải giải thích thêm, system sẽ đảm bảo là mỗi chiếc xe đều đảm bảo chất lượng của công ty
bởi inspector là kiểm duyệt thông tin và mọi thứ. Inspector chỉ đảm bảo tính trung thực & minh bạch của thông tin",medium,"BE: Đạt
FE: Huy",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,,
"S-40 – Inspection Chat Thread (Inspector–Seller) – BP4
","1. Gửi / nhận message
2. Upload ảnh bổ sung
3. Lưu log trao đổi
4. Lock khi listing ARCHIVED
5. Disable message edit and delete actions at UI level",complex,Dev C ( Lâm ),Sprint 2,,,
S-41 – Inspection Request Detail – BP4,"1. Xem yêu cầu kiểm định (yêu cầu kiểm định là gì, là cái bài đăng lên à?)
2. Xem checklist thông tin cần bổ sung",medium,Dev C ( Lâm ),Sprint 2,,,
S-42 – Inspection Response Screen (Seller) – BP4 (Optional),"Seller trả lời Inspector
Upload tài liệu / ảnh
Gửi phản hồi",medium,Dev A ( Quốc Anh ),Sprint 2,,"Mục đích màn này: Seller phản hồi các yêu cầu từ Inspector
________________________________________
ĐIỀU KIỆN TRUY CẬP CHUNG (áp dụng cho toàn màn)
•	Seller chỉ truy cập được S-42 khi:
o	Listing thuộc quyền sở hữu của Seller
o	Listing đang ở trạng thái Need More Info / Waiting Seller Response (hoặc trạng thái tương đương)
•	Nếu không thỏa điều kiện:
o	Không cho truy cập màn
o	Điều hướng về Listing Detail
________________________________________
Function 1 – Seller trả lời Inspector
BR-S42-F01 – Hiển thị nội dung yêu cầu từ Inspector
•	Hệ thống hiển thị:
o	Nội dung yêu cầu bổ sung từ Inspector
o	Các câu hỏi / hạng mục cần Seller phản hồi
•	Chỉ hiển thị yêu cầu chưa được phản hồi
•	Yêu cầu đã xử lý → không hiển thị tại màn này
________________________________________
BR-S42-F02 – Seller nhập nội dung trả lời
•	Seller chỉ được nhập phản hồi cho các yêu cầu Inspector đã đưa ra
•	Không cho phép thêm nội dung ngoài phạm vi yêu cầu
•	Nội dung trả lời không được để trống nếu yêu cầu bắt buộc phản hồi
________________________________________
BR-S42-F03 – Validate nội dung trả lời
•	Trước khi gửi phản hồi:
o	Kiểm tra field bắt buộc đã được trả lời
•	Thiếu nội dung:
o	Disable nút Gửi phản hồi
o	Hiển thị lỗi tại field tương ứng
________________________________________
Function 2 – Upload tài liệu / ảnh
BR-S42-F04 – Upload tài liệu / ảnh
•	Seller có thể upload:
o	Ảnh
o	Tài liệu
•	File được gắn với đúng yêu cầu Inspection
________________________________________
BR-S42-F05 – Validate file upload
•	File sai định dạng → không cho upload
•	File vượt kích thước → không cho upload
•	File lỗi → hiển thị thông báo lỗi cụ thể
________________________________________
BR-S42-F06 – Quản lý file đã upload
•	File upload thành công:
o	Hiển thị trong danh sách file phản hồi
•	Seller có thể:
o	Xóa file trước khi gửi phản hồi
•	File bị xóa → không được gửi cho Inspector
________________________________________
BR-S42-F07 – Yêu cầu file (nếu có)
•	Nếu Inspector yêu cầu bắt buộc upload file:
o	Không có file → không cho gửi phản hồi
•	Nếu file là optional:
o	Cho phép gửi phản hồi không kèm file
________________________________________
Function 3 – Gửi phản hồi
BR-S42-F08 – Điều kiện gửi phản hồi
•	Chỉ cho phép gửi phản hồi khi:
o	Đã trả lời đầy đủ các nội dung bắt buộc
o	Đã upload đủ tài liệu/ảnh bắt buộc (nếu có)
________________________________________
BR-S42-F09 – Gửi phản hồi thành công
•	Khi gửi thành công:
o	Phản hồi được lưu vào hệ thống
o	Gắn với listing và inspection tương ứng
•	Listing chuyển sang trạng thái:
o	Waiting Inspector Review (hoặc trạng thái tương đương)
________________________________________
BR-S42-F10 – Sau khi gửi phản hồi
•	Seller:
o	Không được chỉnh sửa phản hồi đã gửi
•	Hệ thống:
o	Điều hướng Seller về Listing Detail hoặc Listing Status View
________________________________________
Function 4 – Optional behavior (BP4)
BR-S42-F11 – Màn hình Optional
•	Nếu Inspection Response không được bật cho BP hiện tại:
o	Không hiển thị CTA điều hướng đến S-42
•	Seller không thể truy cập trực tiếp bằng URL",
S-43 – Inspection Summary – BP4,"F1. Load inspection summary
Input: inspectionId
Load:
listing info
inspector info
overall score
summary conclusion
inspection date
F2. Load inspection checklist
Load danh sách checklist:
category
item
result (pass/fail)
remark
F3. Load inspection media
Load:
ảnh / video
phân loại theo category
F4. Read-only enforcement
Disable:
- edit
- upload
- approve / reject
",medium,Dev C ( Lâm ),Sprint 2,"Mục tiêu
Inspector xem kết quả tổng hợp kiểm định
Là đầu ra cuối của BP4
KHÔNG action
Actor & Permission
Actor: Inspector
Điều kiện:
- Có inspectionReport tồn tại
- Inspector được assign inspection đó
Output
Entry từ: BP4 flow
Exit:
- Back to Inspector Dashboard
- Back to Inspection Request Detail",,
